SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
Bet1l|ENSRNOT00000017684	23.323	21.125	19.947	23.703	21.745	27.928	24.719	24.591	20.342	22.197	24.009
Bet1|ENSRNOT00000014810	40.226	33.027	36.848	33.040	38.747	42.930	39.008	30.214	41.111	50.527	48.429
Bex2|ENSRNOT00000042126	229.367	273.778	271.193	283.112	217.979	126.369	127.061	208.476	264.550	187.968	181.760
Bex3|ENSRNOT00000045997	331.465	373.244	340.583	347.204	325.877	177.439	211.371	303.432	342.713	275.865	253.771
Bex4|ENSRNOT00000091999	59.781	41.377	50.809	31.223	42.259	36.240	39.245	39.576	38.149	36.169	38.255
Bfar|ENSRNOT00000004217	18.283	19.189	20.378	24.045	19.609	25.347	21.280	20.629	17.976	20.237	19.308
Bfsp1|ENSRNOT00000007727	0.554	0.657	0.456	0.523	0.473	0.826	0.861	0.771	1.055	1.023	0.633
Bfsp2|ENSRNOT00000032376	1.403	1.230	0.990	2.035	1.596	3.365	3.024	3.989	3.502	9.616	5.144
Bglap|ENSRNOT00000026530	2.137	1.503	0.354	0.000	1.467	0.000	0.709	1.558	0.235	0.607	2.980
Bgn|ENSRNOT00000085201	96.025	37.737	43.165	30.074	29.827	166.389	151.339	66.193	59.307	42.828	136.170
Bhlha15|ENSRNOT00000037251	0.382	0.456	0.380	0.545	0.187	0.335	0.146	0.414	0.269	0.295	0.403
Bhlha9|ENSRNOT00000032934	0.774	0.976	0.192	0.337	0.530	0.157	0.515	0.340	0.262	0.000	0.164
Bhlhb9|ENSRNOT00000049375	17.466	19.317	18.234	17.546	14.415	13.065	12.530	12.353	14.269	13.662	13.277
Bhlhe22|ENSRNOT00000033940	4.806	5.567	5.768	5.214	4.753	4.127	3.342	4.784	5.105	4.372	3.759
Bhlhe40|ENSRNOT00000009563	27.449	30.027	30.066	53.146	52.742	30.078	35.877	34.648	31.754	36.430	40.337
Bhlhe41|ENSRNOT00000070957	122.162	111.428	113.458	110.396	122.932	139.512	153.286	168.617	131.083	182.165	170.279
Bicc1|ENSRNOT00000000754	4.083	4.125	4.190	4.474	3.430	7.224	8.548	6.152	3.605	3.717	6.049
Bicc1|ENSRNOT00000080846	4.610	3.492	2.421	4.750	3.990	8.228	7.447	5.039	4.004	2.681	6.945
Bicd1|ENSRNOT00000055435	7.484	10.174	10.428	9.389	7.697	5.450	5.029	5.869	5.405	3.914	5.534
Bicd2|ENSRNOT00000048653	19.104	17.503	18.877	17.851	21.419	19.981	17.282	16.732	14.841	15.780	18.665
Bicd2|ENSRNOT00000090647	12.822	14.350	16.108	11.269	11.556	8.036	5.279	8.813	7.926	8.548	7.005
Bicdl1|ENSRNOT00000086531	6.651	8.252	7.905	5.874	5.672	1.830	2.021	3.316	4.710	3.797	3.442
Bicdl1|ENSRNOT00000089494	6.452	8.716	7.778	5.698	5.061	2.833	2.295	2.779	3.612	2.197	3.761
Bicdl2|ENSRNOT00000004638	0.304	0.412	0.196	0.303	0.268	0.277	0.236	0.134	0.287	0.120	0.337
Bicral|ENSRNOT00000021762	7.416	7.231	6.667	5.204	5.022	4.656	5.089	5.597	4.524	3.186	4.819
Bicral|ENSRNOT00000091809	3.113	4.280	3.592	2.768	2.424	2.568	2.028	1.253	1.266	1.506	1.786
Bicra|ENSRNOT00000015059	8.094	7.397	7.207	9.346	7.328	8.457	6.548	6.110	5.234	4.664	6.242
Bid|ENSRNOT00000016776	7.584	8.247	8.786	13.872	14.870	22.283	21.951	20.739	11.537	10.587	13.990
Bik|ENSRNOT00000013977	0.122	0.102	0.242	0.532	1.003	0.894	0.814	0.429	0.669	0.429	0.625
Bin1|ENSRNOT00000017573	108.311	146.373	144.366	111.183	108.226	50.722	56.241	90.659	107.104	74.546	69.397
Bin1|ENSRNOT00000042287	9.508	13.869	5.899	8.634	6.904	4.316	2.514	7.302	6.930	5.989	8.387
Bin1|ENSRNOT00000049898	181.866	160.535	167.907	144.263	146.464	104.566	119.254	170.335	165.475	204.791	142.023
Bin2|ENSRNOT00000048262	13.183	11.546	10.052	14.453	14.173	49.381	48.073	45.550	24.865	30.771	33.304
Bin3|ENSRNOT00000024614	15.230	15.389	13.619	14.480	16.460	21.699	20.448	19.732	14.667	17.194	17.890
Bin3|ENSRNOT00000077259	0.000	1.640	5.401	2.223	1.021	1.819	2.222	2.520	2.691	0.568	0.000
Birc2|ENSRNOT00000014560	12.764	13.726	12.059	25.460	24.474	35.979	22.195	23.333	13.488	12.541	23.668
Birc3|ENSRNOT00000090774	0.265	1.165	1.204	1.478	2.526	3.361	2.175	1.492	1.477	1.178	3.135
Birc5|ENSRNOT00000072387	3.736	3.017	2.466	3.975	3.501	18.445	12.797	9.350	4.910	3.513	4.710
Birc6|ENSRNOT00000006830	3.588	4.536	3.411	2.339	3.965	4.254	3.510	3.131	1.733	3.167	2.709
Birc6|ENSRNOT00000083128	8.210	9.911	10.412	9.801	6.539	9.260	6.288	6.193	6.740	4.974	7.709
Birc7|ENSRNOT00000068252	4.394	4.399	5.192	2.468	3.781	9.792	8.771	8.333	9.861	14.511	9.647
Bivm|ENSRNOT00000033133	14.264	14.645	16.755	14.392	12.140	12.653	10.826	10.167	14.206	11.864	12.085
Blcap|ENSRNOT00000033525	55.865	59.043	63.002	56.150	51.329	36.212	32.855	42.194	48.238	37.819	42.644
Bles03|ENSRNOT00000027869	50.348	51.030	47.892	55.259	47.221	38.534	42.440	48.716	48.291	44.878	42.321
Blk|ENSRNOT00000015021	0.396	0.390	0.247	0.344	0.293	0.492	0.331	0.376	0.346	0.413	0.614
Blmh|ENSRNOT00000005125	37.795	35.874	38.515	40.967	39.088	34.488	32.732	29.845	32.303	30.678	33.244
Blmh|ENSRNOT00000076357	0.629	0.000	0.000	0.781	0.429	0.242	0.410	0.520	0.216	0.549	0.543
Blm|ENSRNOT00000015065	1.404	1.760	1.570	2.282	2.325	3.271	2.875	2.432	1.807	2.018	1.862
Blnk|ENSRNOT00000019014	9.234	8.029	7.309	7.214	10.924	47.400	51.841	31.478	24.479	37.601	37.933
Bloc1s1|ENSRNOT00000010380	117.851	122.102	120.369	132.448	128.910	146.381	155.817	154.151	155.851	167.464	168.727
Bloc1s2|ENSRNOT00000017006	77.252	76.362	72.838	55.093	76.896	78.430	70.326	75.588	76.105	85.171	88.948
Bloc1s2|ENSRNOT00000090755	0.000	0.266	0.000	0.283	0.672	0.000	0.650	1.067	1.136	0.261	0.000
Bloc1s3|ENSRNOT00000023457	42.904	34.617	39.804	42.854	34.411	41.035	43.603	50.184	39.452	42.242	38.309
Bloc1s4|ENSRNOT00000091068	14.032	12.845	12.899	13.069	14.124	14.536	14.639	13.907	15.528	14.828	15.710
Bloc1s5|ENSRNOT00000022108	38.832	38.739	39.998	33.546	41.645	30.676	30.083	37.995	39.239	39.003	37.381
Bloc1s6|ENSRNOT00000056083	6.418	9.983	9.082	8.987	6.440	12.444	11.944	10.522	8.701	8.833	10.926
Blvra|ENSRNOT00000015843	45.621	41.500	37.353	33.835	38.742	50.985	57.241	56.582	36.558	35.426	48.560
Blvrb|ENSRNOT00000031026	29.243	24.720	23.844	26.105	31.412	46.221	42.364	39.935	31.464	31.304	30.337
Blzf1|ENSRNOT00000051763	7.723	9.969	9.637	11.318	9.926	11.375	11.849	10.158	8.938	10.239	11.265
Bmerb1|ENSRNOT00000004346	97.380	110.075	111.504	101.264	87.887	43.546	44.422	73.505	88.349	63.931	57.331
Bmf|ENSRNOT00000010381	5.356	5.825	4.682	5.980	4.529	28.417	18.525	16.030	7.967	10.574	14.825
Bmi1|ENSRNOT00000064257	44.200	41.905	40.391	36.578	42.497	39.534	33.367	32.727	37.330	42.707	44.648
Bmp10|ENSRNOT00000012365	0.242	0.067	0.000	0.070	0.055	0.262	0.214	0.071	0.111	0.213	0.344
Bmp15|ENSRNOT00000003989	0.377	0.237	0.124	0.055	0.107	0.128	0.168	0.111	0.349	0.363	0.351
Bmp1|ENSRNOT00000046054	17.151	15.295	14.735	19.050	19.137	41.717	28.258	20.862	14.128	17.025	24.319
Bmp2k|ENSRNOT00000060868	24.493	22.258	23.550	22.874	25.512	38.180	31.056	28.867	23.444	28.704	26.828
Bmp2|ENSRNOT00000028904	1.715	1.186	1.519	1.801	2.946	2.042	1.654	1.403	1.067	1.128	1.370
Bmp3|ENSRNOT00000038872	2.536	2.301	2.448	1.421	2.052	1.472	1.138	1.406	1.335	1.415	1.778
Bmp4|ENSRNOT00000012957	5.225	0.771	2.286	2.875	4.284	7.354	6.806	4.904	5.771	6.952	4.750
Bmp4|ENSRNOT00000083268	8.284	2.556	0.608	3.022	5.369	16.805	19.846	9.498	8.741	7.320	9.550
Bmp5|ENSRNOT00000014846	2.528	1.640	1.708	0.919	1.040	1.907	1.349	0.851	1.627	1.224	2.322
Bmp6|ENSRNOT00000018359	58.499	26.444	25.908	13.604	13.891	42.984	61.123	30.335	26.736	33.152	47.073
Bmp7|ENSRNOT00000084990	9.053	4.256	2.853	2.172	4.409	12.882	14.858	7.824	3.350	5.891	8.261
Bmp8a|ENSRNOT00000045922	0.344	0.181	0.514	0.227	0.142	0.085	0.104	0.091	0.232	0.092	0.178
Bmp8b|ENSRNOT00000050949	0.218	0.980	0.721	0.476	0.062	0.074	0.121	0.080	0.285	0.080	0.311
Bmper|ENSRNOT00000033460	5.544	4.241	4.234	4.459	4.270	1.761	3.938	2.209	3.626	3.128	3.596
Bmpr1a|ENSRNOT00000079554	38.137	31.570	38.259	34.935	34.220	48.133	31.119	29.739	34.553	43.140	47.133
Bmpr1b|ENSRNOT00000021963	14.436	11.897	14.524	9.582	10.502	16.224	9.893	11.756	15.950	15.663	17.286
Bmpr2|ENSRNOT00000035238	32.443	37.123	40.571	31.978	30.511	29.446	22.169	24.049	22.272	19.940	23.928
Bms1|ENSRNOT00000008741	13.168	16.418	14.655	12.864	13.860	10.306	9.490	6.900	11.784	11.716	8.988
Bms1|ENSRNOT00000076557	6.194	3.984	5.898	4.931	3.375	5.528	3.697	5.590	2.491	2.919	5.076
Bms1|ENSRNOT00000076679	44.610	35.902	35.874	31.514	33.856	33.012	19.305	26.743	27.558	24.638	31.334
Bmt2|ENSRNOT00000009752	9.667	12.831	11.199	12.752	11.090	14.483	12.871	13.000	11.653	10.061	12.658
Bmx|ENSRNOT00000005181	0.456	0.720	0.801	0.926	0.934	1.358	1.181	0.935	0.420	0.628	0.564
Bmyc|ENSRNOT00000064358	79.233	83.482	77.639	75.585	67.705	33.296	40.925	61.802	64.701	61.884	49.800
Bnc1|ENSRNOT00000067423	0.331	0.423	0.308	0.237	0.106	0.174	0.104	0.154	0.108	0.086	0.268
Bnc2|ENSRNOT00000067389	1.621	0.991	0.712	0.701	0.898	0.786	2.694	1.377	1.073	1.050	1.823
Bnip1|ENSRNOT00000028173	19.605	22.515	20.690	18.471	21.130	14.782	16.882	17.477	20.526	17.685	21.216
Bnip2|ENSRNOT00000081072	1.640	1.661	1.726	2.393	1.560	2.876	2.443	1.733	1.155	1.866	2.497
Bnip2|ENSRNOT00000087382	23.695	26.830	22.509	23.718	31.638	54.539	43.983	35.271	27.529	32.569	40.677
Bnip3l|ENSRNOT00000014798	76.087	69.811	70.364	59.233	64.286	69.114	70.209	63.321	66.922	62.990	63.974
Bnip3|ENSRNOT00000023477	145.041	158.919	167.725	153.002	146.387	117.847	120.095	134.918	147.770	128.323	113.931
Boc|ENSRNOT00000002790	15.063	6.741	5.914	6.475	6.480	9.967	14.840	6.442	8.551	6.392	11.361
Bod1l1|ENSRNOT00000070998	14.203	15.515	15.234	11.904	11.163	11.018	9.238	9.426	9.915	8.945	9.859
Bod1|ENSRNOT00000028115	31.350	25.873	24.252	26.784	32.041	21.334	22.399	23.185	25.216	27.418	28.227
Bok|ENSRNOT00000024526	2.199	2.330	0.839	1.608	2.453	2.201	1.293	2.114	4.509	1.399	2.519
Bok|ENSRNOT00000024695	21.878	26.591	20.748	20.687	20.488	19.763	20.827	19.036	22.951	22.012	26.283
Bola1|ENSRNOT00000028767	40.024	34.326	32.607	31.677	30.587	27.040	22.700	30.694	31.520	40.010	34.845
Bola2|ENSRNOT00000073652	157.187	154.901	146.522	171.856	200.078	163.097	187.764	203.073	179.087	198.106	171.551
Bola3|ENSRNOT00000031583	33.140	37.040	35.114	35.989	35.405	23.012	27.383	28.823	34.982	30.671	29.417
Bop1|ENSRNOT00000025134	19.161	22.509	21.163	21.665	26.820	16.265	15.333	17.212	18.164	16.083	16.934
Bora|ENSRNOT00000039344	2.740	2.434	3.088	2.422	2.309	3.965	3.022	1.843	1.719	1.517	2.533
Borcs5|ENSRNOT00000008645	19.567	19.749	22.183	15.725	16.159	12.160	11.072	14.461	15.242	12.404	12.248
Borcs6|ENSRNOT00000008507	25.075	25.953	26.650	29.173	28.986	21.209	21.708	26.594	27.882	24.098	23.333
Borcs7|ENSRNOT00000027196	55.119	49.932	52.471	54.998	51.614	44.559	39.762	42.513	47.668	54.030	46.356
Borcs8|ENSRNOT00000064090	152.141	150.773	104.260	140.175	155.463	170.569	188.758	190.611	135.593	174.487	159.841
Bpgm|ENSRNOT00000013569	80.231	83.234	89.783	116.332	130.741	110.021	85.159	94.628	132.023	138.702	98.534
Bphl|ENSRNOT00000023914	11.518	12.911	10.563	12.288	15.738	15.398	10.448	15.495	18.442	13.737	15.467
Bpifa1|ENSRNOT00000018581	0.450	0.226	0.000	1.018	0.430	0.146	0.180	0.079	0.247	0.159	0.154
Bpifa5|ENSRNOT00000020713	0.310	0.433	0.920	0.180	1.412	0.084	0.344	0.363	0.567	1.090	0.882
Bpifb1|ENSRNOT00000055342	0.120	0.151	0.059	0.157	0.205	0.049	0.040	0.211	0.000	0.159	0.154
Bpifb4|ENSRNOT00000044574	0.423	1.061	1.393	1.431	1.860	1.260	1.314	3.385	1.755	2.080	2.013
Bpifb5|ENSRNOT00000034798	0.071	0.118	0.070	0.061	0.337	0.287	0.141	0.248	0.195	0.312	0.121
Bpifc|ENSRNOT00000037290	1.160	1.274	1.472	0.935	0.980	0.912	0.721	0.593	0.703	0.361	0.864
Bpnt1|ENSRNOT00000003249	30.511	35.506	36.649	30.303	27.723	26.604	22.806	21.566	27.834	31.627	27.512
Bpnt1|ENSRNOT00000088921	14.317	13.719	17.615	19.031	15.168	8.034	11.324	16.511	14.367	14.182	12.857
Bptf|ENSRNOT00000066487	7.755	7.381	10.240	6.163	6.120	6.517	4.930	4.965	6.619	4.061	6.221
Bptf|ENSRNOT00000085210	14.209	16.325	16.668	13.634	11.816	11.771	9.714	10.556	10.411	9.225	11.430
Braf|ENSRNOT00000014604	12.336	14.988	14.908	15.959	13.808	10.690	8.817	11.200	10.933	9.255	11.000
Brap|ENSRNOT00000072481	29.311	30.574	31.010	25.208	28.527	25.917	25.409	29.281	23.818	21.650	21.704
Brat1|ENSRNOT00000064726	10.030	9.665	8.800	7.569	8.473	8.967	7.881	8.371	6.757	8.103	9.771
Brca1|ENSRNOT00000028109	0.182	0.249	0.235	0.260	0.294	0.951	0.338	0.181	0.000	0.277	0.000
Brca1|ENSRNOT00000083111	0.675	0.667	0.716	0.935	0.609	1.012	1.289	0.941	0.779	0.527	0.701
Brca2|ENSRNOT00000001475	1.046	0.945	1.177	1.391	0.908	1.748	1.704	1.435	0.980	0.961	1.159
Brcc3|ENSRNOT00000071068	23.254	22.646	23.994	19.433	23.884	28.182	27.266	24.713	23.019	23.401	23.628
Brd1|ENSRNOT00000006034	14.761	14.541	15.243	13.575	13.763	16.704	13.668	13.171	13.300	12.658	14.314
Brd3|ENSRNOT00000065867	17.948	12.979	14.083	12.949	13.597	13.417	12.958	12.231	11.353	13.515	13.960
Brd3|ENSRNOT00000084491	1.173	4.139	2.124	3.760	2.212	3.946	3.273	4.362	4.558	1.294	1.520
Brd4|ENSRNOT00000008963	12.002	13.500	13.083	12.010	11.863	12.954	10.245	12.421	8.868	7.816	9.232
Brd4|ENSRNOT00000091368	9.525	10.278	10.315	7.098	8.795	8.382	7.816	5.350	6.472	6.034	8.299
Brd7|ENSRNOT00000064275	1.401	1.172	0.885	1.631	0.444	0.229	0.767	0.916	0.970	2.993	1.186
Brd7|ENSRNOT00000086560	42.865	44.651	42.806	42.338	46.773	54.585	45.443	46.907	42.836	35.879	46.857
Brd8dc|ENSRNOT00000034385	0.000	0.128	0.000	0.265	0.000	0.124	0.202	0.000	0.311	0.000	0.000
Brd8|ENSRNOT00000048752	6.847	6.267	2.104	5.613	6.600	4.990	5.158	4.511	4.319	1.475	6.607
Brd8|ENSRNOT00000087968	10.840	13.388	17.147	12.572	8.942	11.816	10.764	12.044	11.999	12.216	10.082
Brd9|ENSRNOT00000021000	29.974	30.887	31.003	28.094	29.897	26.739	25.545	26.130	27.111	25.177	26.242
Brdt|ENSRNOT00000061538	1.879	2.036	1.768	1.584	1.342	0.954	1.349	1.006	1.710	1.120	1.637
Brf1|ENSRNOT00000019689	23.723	23.314	20.692	17.623	19.563	19.539	17.049	20.126	17.049	17.186	17.400
Brf2|ENSRNOT00000017324	10.050	9.314	11.380	8.368	8.271	9.181	7.488	9.926	9.160	8.073	9.679
Bri3bp|ENSRNOT00000001295	13.364	16.748	14.295	12.408	12.716	15.365	14.759	16.686	11.619	13.410	14.702
Bri3|ENSRNOT00000001336	96.892	83.238	86.152	74.057	87.725	167.691	185.446	173.452	111.930	135.050	150.997
Bricd5|ENSRNOT00000012794	1.247	1.051	1.599	0.543	0.642	1.521	1.710	2.729	2.520	1.602	1.865
Brinp1|ENSRNOT00000007578	18.126	19.218	19.335	16.486	13.346	8.726	7.901	11.217	13.746	11.255	11.213
Brinp2|ENSRNOT00000007455	1.227	1.924	3.318	2.197	2.208	1.004	1.071	1.483	1.013	2.192	3.701
Brinp2|ENSRNOT00000075865	4.816	6.616	4.914	8.982	4.827	3.284	2.954	4.282	6.396	5.052	5.445
Brinp3|ENSRNOT00000003788	7.334	10.251	9.802	9.722	6.432	5.604	4.926	6.829	7.012	5.344	5.463
Brip1|ENSRNOT00000091172	0.808	0.657	0.822	0.983	0.855	1.702	1.245	0.876	0.516	0.471	0.749
Brix1|ENSRNOT00000024285	13.226	12.243	12.812	17.405	19.966	16.339	13.733	14.214	15.122	14.956	16.625
Brk1|ENSRNOT00000013600	168.028	163.613	150.529	167.724	162.822	195.616	182.107	174.693	185.160	198.106	201.006
Brms1l|ENSRNOT00000010948	0.279	0.205	0.000	0.211	0.742	0.218	0.000	0.215	0.000	0.000	0.000
Brms1l|ENSRNOT00000076169	23.392	26.539	27.904	20.516	21.446	17.317	15.423	15.647	22.679	17.321	20.250
Brms1l|ENSRNOT00000076760	4.783	1.971	6.086	4.969	4.215	3.327	1.809	4.045	2.136	1.721	1.477
Brms1l|ENSRNOT00000082286	1.240	1.166	1.422	1.149	0.805	1.556	0.920	0.830	0.743	0.912	1.027
Brox|ENSRNOT00000078834	39.167	36.192	44.386	40.185	34.916	36.466	32.109	36.498	36.048	33.137	36.228
Brpf1|ENSRNOT00000011246	9.221	9.304	9.085	8.281	7.840	8.630	8.377	7.844	7.448	7.105	8.004
Brpf3|ENSRNOT00000042143	6.539	6.254	5.949	5.893	5.963	5.782	5.129	5.098	4.370	4.699	5.162
Brsk1|ENSRNOT00000031172	141.570	196.186	177.330	143.481	136.687	50.999	53.801	102.844	116.031	76.787	78.419
Brsk2|ENSRNOT00000027134	47.331	59.673	55.456	48.321	39.737	18.776	17.640	28.074	36.240	22.227	24.649
Brwd1|ENSRNOT00000002231	6.420	7.334	7.124	5.843	5.126	5.999	4.795	4.281	4.690	4.134	5.364
Brwd3|ENSRNOT00000050336	2.757	2.515	2.405	2.840	2.077	3.092	2.332	2.289	1.693	1.909	2.281
Bscl2|ENSRNOT00000077959	83.593	110.587	91.387	89.541	93.097	70.474	68.537	75.451	80.235	73.454	77.288
Bsdc1|ENSRNOT00000011054	44.149	41.243	41.027	41.190	42.812	35.752	36.484	37.786	42.157	44.639	40.205
Bsg|ENSRNOT00000011275	8.462	9.612	7.020	6.101	7.566	7.588	10.042	8.101	5.500	8.209	7.645
Bsg|ENSRNOT00000044275	581.400	614.964	528.650	578.635	638.572	679.485	711.432	606.614	632.024	574.995	634.938
Bsn|ENSRNOT00000042528	8.413	11.554	10.976	7.927	6.860	3.084	2.761	4.463	4.534	3.012	3.733
Bsn|ENSRNOT00000082113	0.056	0.175	0.057	0.190	0.000	0.113	0.138	0.060	0.333	0.000	0.046
Bspry|ENSRNOT00000020366	33.597	28.241	32.481	31.193	28.704	17.613	13.897	27.462	28.509	30.950	22.707
Bst1|ENSRNOT00000004094	1.465	0.819	0.483	1.807	4.174	13.696	16.578	12.004	3.174	1.178	3.121
Bst2|ENSRNOT00000087162	179.392	184.658	176.616	55.993	82.949	184.075	80.195	37.882	65.862	77.907	153.967
Bst2|ENSRNOT00000091906	26.249	20.446	20.744	8.512	11.212	30.290	15.970	6.276	12.826	14.583	22.438
Btaf1|ENSRNOT00000024465	4.013	5.353	3.711	4.021	4.255	5.332	3.435	2.580	2.320	3.014	3.421
Btaf1|ENSRNOT00000081786	3.490	1.854	3.654	3.625	4.368	4.444	3.903	4.229	3.300	3.165	4.178
Btbd10|ENSRNOT00000067170	21.445	20.917	23.952	22.558	22.747	17.252	14.084	15.201	20.880	16.034	17.363
Btbd10|ENSRNOT00000081767	5.345	8.052	7.615	7.096	4.085	4.475	5.661	7.995	5.096	3.973	5.679
Btbd11|ENSRNOT00000008596	10.801	10.777	10.434	9.700	9.278	5.054	5.093	5.591	7.277	3.632	5.736
Btbd11|ENSRNOT00000044331	10.093	13.646	11.471	12.676	12.520	5.573	5.267	8.673	8.301	6.580	7.077
Btbd16|ENSRNOT00000067742	0.369	0.530	0.261	0.505	0.504	0.858	0.738	0.649	0.730	0.794	0.769
Btbd17|ENSRNOT00000004191	9.219	13.811	10.587	4.494	4.258	5.969	3.620	6.379	7.257	6.046	6.323
Btbd19|ENSRNOT00000067675	5.280	4.157	4.869	4.775	4.558	6.028	5.773	5.330	5.033	5.452	6.502
Btbd1|ENSRNOT00000026595	95.544	91.685	98.394	89.875	84.006	76.980	63.673	69.376	82.601	85.408	79.867
Btbd2|ENSRNOT00000025391	78.340	92.727	90.725	69.318	67.766	42.641	42.789	56.388	62.527	48.408	51.802
Btbd3|ENSRNOT00000010835	70.373	55.209	64.438	44.888	40.734	37.140	29.957	30.524	40.488	51.059	39.475
Btbd6|ENSRNOT00000019768	42.120	48.353	44.956	40.927	39.094	28.311	27.832	32.445	36.900	32.251	30.103
Btbd7|ENSRNOT00000064914	5.157	5.357	6.046	4.463	4.696	7.666	5.509	5.172	4.444	4.615	6.272
Btbd7|ENSRNOT00000081127	4.612	5.018	4.398	4.149	4.847	6.063	5.307	3.767	4.581	3.877	6.262
Btbd8|ENSRNOT00000037931	22.341	22.240	23.468	16.737	15.256	9.054	10.056	14.015	15.919	15.759	14.556
Btbd9|ENSRNOT00000000649	19.479	18.635	19.398	14.732	16.013	13.879	14.600	15.365	16.993	14.396	15.073
Btc|ENSRNOT00000003686	2.824	2.000	2.402	1.672	2.837	2.613	2.063	1.240	1.494	2.642	2.590
Btd|ENSRNOT00000061063	28.423	21.902	23.219	23.188	17.116	19.011	19.602	17.256	13.020	16.665	16.525
Btf3l4|ENSRNOT00000011272	79.829	89.345	83.060	119.657	105.529	134.908	130.594	125.310	98.210	112.084	119.444
Btf3|ENSRNOT00000022864	259.613	263.788	283.443	324.649	363.993	338.378	371.988	340.803	313.817	319.556	321.177
Btg1|ENSRNOT00000005910	30.843	32.756	31.691	36.807	39.194	78.323	67.032	53.987	34.871	40.868	56.560
Btg2|ENSRNOT00000004408	4.779	5.662	5.501	9.201	11.042	11.036	12.479	12.398	7.247	6.404	9.423
Btg3|ENSRNOT00000002121	12.854	9.135	8.472	10.413	13.694	12.941	13.561	13.133	9.069	8.980	13.405
Btk|ENSRNOT00000077547	1.949	1.504	1.271	1.870	3.650	13.560	11.050	9.570	4.976	7.342	8.606
Btla|ENSRNOT00000050092	0.127	0.000	0.000	0.404	0.135	0.000	0.293	0.112	0.174	0.112	0.027
Btla|ENSRNOT00000093151	0.000	0.273	0.000	0.055	0.110	0.228	0.110	0.082	0.161	0.041	0.190
Btn1a1|ENSRNOT00000023622	0.253	0.371	0.344	0.138	0.195	0.232	0.084	0.195	0.132	0.169	0.299
Btn2a2|ENSRNOT00000059403	7.476	8.335	8.704	5.426	5.189	7.154	4.133	4.768	3.762	4.481	5.709
Btnl10|ENSRNOT00000048642	0.156	0.131	0.000	0.272	0.160	0.572	0.104	0.069	0.323	0.000	0.134
Btrc|ENSRNOT00000022426	24.579	28.633	29.457	25.500	24.380	15.098	14.806	18.611	20.164	15.692	16.019
Bub1b|ENSRNOT00000010406	0.273	0.171	0.225	0.415	0.667	3.214	3.423	2.018	0.853	0.606	0.722
Bub1|ENSRNOT00000051783	0.719	0.480	0.831	1.269	1.107	4.287	3.802	2.220	1.084	0.949	1.252
Bub3|ENSRNOT00000028020	2.604	3.288	3.387	2.692	2.259	2.881	2.304	3.037	3.137	2.262	2.678
Bub3|ENSRNOT00000087065	44.693	41.474	38.407	47.955	50.509	56.785	51.796	45.136	46.097	47.221	49.190
Bud13|ENSRNOT00000025232	7.821	8.250	8.310	7.241	8.907	9.457	8.659	9.028	7.016	7.328	8.652
Bud23|ENSRNOT00000044449	15.661	14.698	10.562	16.241	17.293	11.774	13.105	13.561	13.918	10.527	11.141
Bud31|ENSRNOT00000001307	56.044	48.324	43.024	59.693	63.703	67.511	69.432	56.428	54.761	59.692	63.078
Bud31|ENSRNOT00000075987	0.000	0.000	0.000	1.086	0.567	0.320	0.558	0.686	0.000	0.000	0.377
Bud31|ENSRNOT00000076149	12.188	16.896	11.881	13.989	18.686	16.852	15.145	16.809	12.902	14.806	9.716
Bud31|ENSRNOT00000076423	1.955	3.106	1.675	4.984	2.905	4.236	3.714	5.315	4.853	1.311	4.057
Bud31|ENSRNOT00000088603	0.167	5.072	10.916	0.000	3.604	0.000	0.000	0.000	3.176	0.000	0.000
Bves|ENSRNOT00000066167	0.564	0.402	0.237	0.184	0.385	0.287	0.160	0.619	0.583	0.000	0.543
Bves|ENSRNOT00000076504	0.000	0.769	0.454	0.000	0.000	0.000	0.504	0.000	0.000	0.351	0.000
Bysl|ENSRNOT00000075630	16.328	19.939	16.018	18.151	25.185	13.896	12.974	11.725	15.430	15.646	13.164
Bzw1|ENSRNOT00000019486	92.421	96.378	102.007	128.189	120.876	117.234	111.030	96.721	92.520	98.075	110.024
Bzw2|ENSRNOT00000007414	12.753	13.001	15.468	18.100	16.890	20.012	17.129	16.059	13.691	11.620	14.345
C12H7orf61|ENSRNOT00000001869	2.323	2.263	3.058	2.541	1.452	1.580	1.032	0.511	1.214	1.137	1.166
C12H7orf61|ENSRNOT00000059592	80.704	81.946	78.802	165.580	128.238	91.169	83.900	116.075	100.202	100.383	91.541
C12H7orf61|ENSRNOT00000082910	1.046	1.577	1.277	1.138	1.147	1.334	1.039	0.921	1.260	1.098	1.406
C17h6orf52|ENSRNOT00000060340	2.086	1.855	1.740	1.986	0.534	0.742	1.172	0.802	0.675	1.728	1.116
C1d|ENSRNOT00000008057	15.508	13.939	14.513	16.031	16.022	17.336	16.151	13.319	17.957	14.951	17.333
C1galt1c1|ENSRNOT00000003449	34.809	31.730	34.415	26.109	34.746	36.697	29.195	24.196	34.952	39.885	33.235
C1galt1|ENSRNOT00000010375	4.753	4.394	4.712	9.423	8.782	12.676	8.113	8.501	7.817	7.623	8.221
C1galt1|ENSRNOT00000078680	5.418	4.327	5.391	7.392	7.541	10.001	8.711	6.949	6.902	6.390	8.440
