SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
5_8S_rRNA|ENSRNOT00000082632	0.000	0.000	1.573	0.000	0.000	0.876	0.000	1.747	0.000	1.181	0.000
5_8S_rRNA|ENSRNOT00000084607	0.000	2.780	1.573	0.000	0.000	0.876	0.000	1.747	0.000	1.181	0.000
5_8S_rRNA|ENSRNOT00000084761	3.484	6.354	3.146	2.590	1.718	1.502	9.173	7.111	2.249	2.025	0.434
5_8S_rRNA|ENSRNOT00000085998	2.953	5.796	9.870	0.000	2.104	2.757	0.000	2.737	5.425	7.303	0.000
5_8S_rRNA|ENSRNOT00000086151	3.613	1.656	4.696	2.349	2.968	0.769	0.000	1.621	0.000	1.965	3.557
5_8S_rRNA|ENSRNOT00000086527	3.613	1.656	4.696	2.349	2.968	0.769	0.000	1.621	0.000	1.965	3.557
5_8S_rRNA|ENSRNOT00000087159	3.484	6.354	3.146	2.590	1.718	1.502	9.173	7.111	2.249	2.025	0.434
5_8S_rRNA|ENSRNOT00000087304	0.954	0.000	2.097	1.727	0.668	1.752	0.000	0.873	0.874	2.362	0.000
5_8S_rRNA|ENSRNOT00000088091	0.000	1.390	0.000	0.000	2.005	0.000	0.000	0.000	0.000	0.000	3.035
5_8S_rRNA|ENSRNOT00000089050	3.484	6.354	3.146	2.590	1.718	1.502	9.173	7.111	2.249	2.025	0.434
5_8S_rRNA|ENSRNOT00000089300	3.484	6.354	3.146	2.590	1.718	1.502	9.173	7.111	2.249	2.025	0.434
5_8S_rRNA|ENSRNOT00000089633	8.588	1.390	0.000	12.952	2.005	0.000	3.777	2.620	0.000	0.000	3.035
5_8S_rRNA|ENSRNOT00000090107	3.484	6.354	3.146	2.590	1.718	1.502	9.173	7.111	2.249	2.025	0.434
5_8S_rRNA|ENSRNOT00000091585	2.863	5.560	6.291	2.590	2.005	0.000	0.000	0.000	0.000	0.000	3.035
7SK|ENSRNOT00000077203	2.898	8.979	4.797	5.067	5.339	2.367	1.287	3.397	2.448	0.000	0.788
7SK|ENSRNOT00000077472	0.000	0.000	0.000	0.000	1.154	0.000	0.000	0.000	0.992	2.606	0.000
7SK|ENSRNOT00000078132	5.394	11.355	16.453	12.844	13.888	7.889	12.690	12.473	6.833	8.400	6.878
7SK|ENSRNOT00000078164	0.000	0.000	0.000	2.390	0.824	0.000	0.992	0.000	1.356	0.000	0.971
7SK|ENSRNOT00000078225	3.346	3.817	4.425	0.000	0.820	1.753	0.850	0.967	0.742	1.100	0.994
7SK|ENSRNOT00000078924	5.607	6.222	3.546	5.925	8.266	5.080	0.799	2.082	2.312	0.000	6.176
7SK|ENSRNOT00000078965	14.963	59.222	33.732	14.923	15.619	17.447	12.208	13.281	7.524	9.548	21.916
7SK|ENSRNOT00000079018	0.000	1.211	1.429	1.262	0.998	0.000	0.000	1.283	0.911	0.000	0.000
7SK|ENSRNOT00000079055	33.815	43.534	16.914	29.477	27.738	63.104	13.284	124.366	16.233	21.201	41.937
7SK|ENSRNOT00000079147	12.158	11.266	10.858	13.842	7.560	8.952	5.677	7.532	9.984	8.960	7.917
7SK|ENSRNOT00000079149	0.000	4.750	4.474	4.931	2.334	3.685	3.753	3.978	3.562	0.923	1.836
7SK|ENSRNOT00000079428	13.407	10.523	17.123	9.209	10.589	14.859	8.290	5.893	12.137	10.219	14.845
7SK|ENSRNOT00000079666	7.016	3.944	3.483	3.073	1.616	1.914	0.780	0.000	0.000	0.000	0.953
7SK|ENSRNOT00000080211	0.000	3.302	1.967	3.476	2.738	1.627	0.000	1.771	1.264	0.000	1.621
7SK|ENSRNOT00000080280	1.428	4.792	1.414	11.246	3.950	0.000	0.952	2.539	1.804	2.333	3.480
7SK|ENSRNOT00000080664	40.471	52.840	47.639	39.219	35.890	30.898	24.585	21.501	41.755	21.755	40.677
7SK|ENSRNOT00000080970	0.000	0.000	0.000	2.499	0.000	1.168	0.000	0.000	0.000	3.500	1.160
7SK|ENSRNOT00000081390	0.000	2.297	2.761	0.000	0.000	2.266	1.846	2.460	0.000	0.000	2.292
7SK|ENSRNOT00000081429	2.092	2.648	11.342	2.745	4.338	3.421	4.750	0.922	0.662	3.431	6.821
7SK|ENSRNOT00000081583	3.748	3.234	3.857	0.000	0.000	3.146	0.000	10.165	0.000	3.419	0.000
7SK|ENSRNOT00000081602	0.000	0.803	1.886	0.830	0.000	0.000	1.265	0.835	1.821	0.000	0.000
7SK|ENSRNOT00000082282	0.000	2.233	1.317	0.000	0.000	0.000	0.886	0.000	0.000	0.000	0.000
7SK|ENSRNOT00000082292	3.508	0.986	2.322	1.024	1.616	0.000	2.341	0.000	0.739	0.000	0.000
7SK|ENSRNOT00000082328	0.000	0.809	0.951	1.674	0.000	0.000	0.000	0.000	0.607	0.000	0.781
7SK|ENSRNOT00000082382	0.000	2.575	1.523	0.000	2.124	1.259	0.000	4.104	0.000	2.510	0.000
7SK|ENSRNOT00000082515	1.252	0.000	1.242	0.000	0.000	1.023	0.000	0.000	0.000	0.000	0.000
7SK|ENSRNOT00000082519	0.000	1.288	0.000	0.000	0.000	2.065	2.185	2.304	0.000	0.000	0.000
7SK|ENSRNOT00000082820	0.000	1.477	3.514	4.644	6.112	4.353	0.000	1.576	1.124	1.446	0.000
7SK|ENSRNOT00000083070	26.146	23.004	12.263	14.922	6.588	17.788	17.643	13.166	18.281	10.045	15.363
7SK|ENSRNOT00000083210	0.000	0.000	1.173	5.170	0.816	0.977	0.000	0.000	0.000	0.967	0.962
7SK|ENSRNOT00000083583	3.691	0.000	11.620	3.243	1.340	0.000	0.000	0.000	1.380	3.597	8.742
7SK|ENSRNOT00000083673	6.650	4.161	1.644	4.349	5.724	10.866	4.420	4.429	4.195	2.705	8.109
7SK|ENSRNOT00000083716	2.343	0.661	3.107	3.411	1.077	1.908	1.038	0.684	1.490	1.948	2.555
7SK|ENSRNOT00000083749	1.029	0.880	1.011	0.000	0.732	0.000	0.000	0.000	0.000	0.854	0.000
7SK|ENSRNOT00000083868	1.414	0.000	2.799	2.474	0.000	0.000	5.655	1.256	0.000	0.000	0.000
7SK|ENSRNOT00000083945	3.446	3.000	0.000	0.000	2.186	2.115	1.685	0.000	0.000	2.518	0.000
7SK|ENSRNOT00000084316	2.729	2.308	0.000	2.386	0.629	1.485	0.606	1.599	0.000	0.748	2.228
7SK|ENSRNOT00000084405	44.732	61.655	48.544	131.306	153.608	66.529	45.391	54.158	50.107	71.433	64.861
7SK|ENSRNOT00000084810	4.109	6.073	4.083	5.392	4.973	4.201	0.000	2.716	2.603	2.528	0.838
7SK|ENSRNOT00000084975	0.000	0.000	0.951	0.837	0.000	0.000	0.000	0.842	0.000	1.572	0.000
7SK|ENSRNOT00000085425	30.165	29.527	32.926	9.060	21.534	22.244	9.611	12.971	11.351	9.972	7.335
7SK|ENSRNOT00000085521	0.000	0.000	0.000	1.165	0.918	0.000	0.000	1.179	0.000	0.000	0.000
7SK|ENSRNOT00000086088	2.111	4.454	3.147	1.847	2.918	2.589	1.407	4.652	1.337	1.751	1.721
7SK|ENSRNOT00000086312	1.556	0.000	0.000	0.000	2.148	0.000	1.036	0.000	0.000	0.000	0.000
7SK|ENSRNOT00000086384	1.948	1.615	0.000	1.699	4.014	0.000	1.296	0.000	4.941	3.168	3.166
7SK|ENSRNOT00000086457	0.000	0.000	0.000	1.992	0.786	0.930	0.000	0.000	0.000	1.863	0.000
7SK|ENSRNOT00000086558	1.966	1.661	3.905	3.438	2.038	1.606	2.619	0.865	0.000	0.000	1.603
7SK|ENSRNOT00000086781	0.000	0.000	0.000	0.000	0.000	5.528	3.002	2.983	1.425	0.923	2.753
7SK|ENSRNOT00000086913	1.399	1.174	1.386	0.000	1.934	0.000	1.865	0.000	0.000	0.000	0.000
7SK|ENSRNOT00000087776	0.000	0.000	2.354	2.073	1.628	0.000	0.000	0.000	1.517	0.000	1.942
7SK|ENSRNOT00000088154	1.228	0.000	0.000	1.075	0.000	0.000	0.000	0.000	0.000	1.005	0.000
7SK|ENSRNOT00000088157	6.696	4.705	4.431	7.814	14.644	11.861	9.666	11.820	7.766	4.573	8.186
7SK|ENSRNOT00000088341	1.216	0.000	0.000	0.000	0.000	0.995	0.000	1.076	0.000	0.000	0.990
7SK|ENSRNOT00000088382	0.000	2.138	0.000	4.512	1.769	0.000	1.716	0.000	0.000	2.135	0.000
7SK|ENSRNOT00000088518	38.960	62.978	69.220	67.964	38.803	65.131	31.093	36.324	30.879	25.341	66.483
7SK|ENSRNOT00000088598	0.000	0.000	1.206	0.000	1.680	1.989	0.000	0.000	0.000	0.996	0.990
7SK|ENSRNOT00000088817	3.014	0.000	2.982	0.000	1.040	0.000	0.000	0.000	0.000	0.000	1.224
7SK|ENSRNOT00000088975	0.000	1.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.702	1.700
7SK|ENSRNOT00000089183	0.000	1.578	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.093	3.092
7SK|ENSRNOT00000089302	0.000	0.687	0.000	0.709	0.000	0.000	0.000	0.000	0.000	0.669	0.000
7SK|ENSRNOT00000089600	0.000	2.804	3.324	1.465	0.000	0.000	0.000	0.000	0.000	0.000	1.366
7SK|ENSRNOT00000089621	0.000	0.915	0.000	0.000	0.375	0.444	0.361	0.479	0.343	0.890	0.000
7SK|ENSRNOT00000089687	60.791	90.086	93.780	89.060	65.493	92.432	55.606	52.771	49.995	47.352	47.075
7SK|ENSRNOT00000089730	0.000	5.817	0.000	1.744	0.000	0.000	0.000	0.000	0.000	0.000	2.013
7SK|ENSRNOT00000090091	20.359	22.942	19.567	26.252	23.875	26.343	8.803	17.845	6.949	10.942	8.337
7SK|ENSRNOT00000090116	0.713	1.812	0.710	1.246	1.476	1.162	0.948	0.624	0.911	0.590	0.000
7SK|ENSRNOT00000090144	0.000	2.348	2.772	1.225	0.967	0.000	0.933	0.000	0.000	1.143	0.000
7SK|ENSRNOT00000090284	0.000	0.000	1.590	0.000	0.551	0.000	0.000	0.000	0.000	0.659	1.960
7SK|ENSRNOT00000090522	0.000	3.711	2.218	0.000	0.000	0.000	5.967	5.977	0.000	5.494	3.657
7SK|ENSRNOT00000090649	5.598	1.174	4.159	3.674	1.934	1.144	0.933	1.243	0.884	0.000	0.000
7SK|ENSRNOT00000090777	33.508	1.631	5.463	13.475	0.000	0.000	0.000	46.101	30.020	38.871	5.389
7SK|ENSRNOT00000091627	0.000	0.915	0.000	0.000	0.375	0.444	0.361	0.479	0.343	0.890	0.000
7SK|ENSRNOT00000091948	0.000	1.174	0.000	0.000	0.000	0.000	1.865	1.243	0.000	1.143	1.136
7SK|ENSRNOT00000091998	1.746	1.476	2.602	0.000	0.603	0.000	0.000	0.769	0.000	0.000	0.000
7SK|ENSRNOT00000092059	2.712	1.139	1.344	3.564	1.874	0.000	0.000	3.612	0.000	0.000	0.000
7SK|ENSRNOT00000092135	3.138	4.414	8.314	2.745	0.723	5.986	3.486	4.609	0.662	6.862	4.263
A2ml1|ENSRNOT00000009557	0.232	0.106	0.104	0.239	0.202	0.137	0.056	0.074	0.103	0.038	0.127
A2m|ENSRNOT00000019346	35.755	27.649	31.087	59.433	50.314	374.973	234.161	88.657	46.201	54.079	100.276
A3galt2|ENSRNOT00000007851	5.761	7.927	5.175	20.736	29.459	33.954	36.614	25.579	13.684	11.167	18.573
A4galt|ENSRNOT00000012914	0.372	0.259	0.061	0.162	0.042	0.202	0.867	0.000	0.128	0.219	0.743
AA926063|ENSRNOT00000092447	2.053	1.304	4.089	0.895	2.138	0.835	2.043	0.897	2.662	0.860	0.425
AA926063|ENSRNOT00000092503	34.517	29.083	31.919	29.777	37.120	42.987	42.139	32.543	30.617	35.378	36.426
AABR07000137.1|ENSRNOT00000075346	0.000	0.182	0.430	0.189	0.594	0.528	0.432	0.950	0.292	0.000	0.000
AABR07000156.1|ENSRNOT00000044523	2.976	2.416	2.150	2.496	1.748	1.741	1.523	1.176	2.137	1.618	2.724
AABR07000158.1|ENSRNOT00000062030	0.000	0.000	0.376	0.000	0.000	0.154	0.000	0.000	0.000	0.495	0.000
AABR07000159.1|ENSRNOT00000085174	1.442	0.000	0.000	0.000	0.972	0.000	0.000	1.301	0.000	0.000	0.000
AABR07000159.2|ENSRNOT00000087944	0.000	0.000	0.710	0.000	0.492	1.162	0.000	0.000	0.000	0.000	0.000
